,id,Numero_Aula,Bloque,Descripcion,Status,Fecha_Registro
0,6752db57a0da4349b2def5e7bc25806c,Coliseo,Coliseo,Voluptas aperiam voluptatibus harum necessitatibus quod eaque non.,Inactivo,2005-01-31
1,9ad8cc9233614c4d89e0fd3909809f7b,Salon Interactivo,Salon Interactivo,Cumque corrupti cumque odio.,Activo,2007-08-20
2,163505a1a7b44e9994da362ac3a29852,Patio,Patio,Esse aperiam praesentium inventore.,Inactivo,2019-08-22
3,bb8d26da8ca84279a99a4c7a171dff15,D-356,D,Ullam corporis itaque dolores accusamus quos.,Inactivo,2020-08-27
4,5a22fe067e074446b9cc939405b3d7ab,Patio,Patio,Dignissimos eius porro beatae alias iste totam.,Activo,2022-05-05
5,4a22e4bdc70a43ce8e786184f7285bf3,B-106,B,Reiciendis et vel neque odit blanditiis excepturi.,Activo,2012-02-07
6,88445fb3b1844b09b957f5eb5783a8c1,B-115,B,Harum magnam consequatur cupiditate voluptas.,Inactivo,2019-03-24
7,ef81a987564c46b1bfa75b6f2507ca7f,A-15,A,Officia quasi quaerat illo rerum quidem rem.,Inactivo,2016-07-22
8,752e1e6140744c33b669228dd6698791,Coliseo,Coliseo,Provident architecto temporibus accusantium nihil velit quod.,Inactivo,2012-01-22
9,3274702d73334cceac1b05740d500569,Patio,Patio,Quis maiores repellat quo odio tempora quibusdam perspiciatis.,Activo,2009-04-09
10,5085f49388104fa9a4737265067c4d43,A-62,A,Eligendi ducimus quod ipsa.,Inactivo,2013-10-08
11,4fd70cc4956646c68b061f8c7339f2f2,D-344,D,Modi ut quod alias.,Inactivo,2012-02-23
12,06f131b50e78430ea105385da7dafa22,A-26,A,Similique quasi omnis assumenda quas repellendus aut.,Inactivo,2003-04-11
13,679de9d394d64557a37c5300fe4c99b3,Coliseo,Coliseo,Ipsa sunt itaque architecto nihil cumque consectetur.,Activo,2001-06-14
14,4e6bbf79f8804beea784b5cecd0a51d3,D-337,D,Iste temporibus perspiciatis et.,Inactivo,2009-08-21
15,3e5a3a985aa54d2c9df708701c340d36,Salon Interactivo,Salon Interactivo,A at amet magni unde tenetur.,Inactivo,2015-12-14
16,f497be7d799a4e82a3d135fd225bbb3d,C-291,C,Nihil optio temporibus est blanditiis.,Inactivo,2005-03-01
17,ee0c2153d5784f23b3eac62e002a0b50,Coliseo,Coliseo,Quisquam minima alias delectus voluptas minus corporis.,Inactivo,2018-08-01
18,1110bea741a143a9b535432de1f8c828,Salon Interactivo,Salon Interactivo,Perspiciatis ea et itaque possimus.,Activo,2020-04-15
19,c3c15b34e9954597bad2d99ece3c2a21,C-240,C,Neque sint rerum sint architecto fugit consequuntur.,Activo,2001-12-08
20,b9fb3db666a4443981668226d47c6d48,Salon Interactivo,Salon Interactivo,Sed quisquam laboriosam in.,Activo,2012-02-04
21,6679248c17c44da083d16237eaf51dde,B-150,B,Non optio a necessitatibus.,Inactivo,2019-07-30
22,e15f785ccab0475682b1fc9a91019626,B-188,B,Possimus corporis quae quasi dicta odio eaque.,Activo,2005-11-20
23,6ca80f964e0a424e88440cc7881573a8,Patio,Patio,Odit minima facere officiis voluptatem distinctio.,Inactivo,2019-03-18
24,bdf2d65aa911490e9cf53ec72d509852,D-370,D,Harum laudantium temporibus nulla aliquid provident excepturi.,Inactivo,2021-09-18
25,66543c00aba84eb6af6e6d359044c0ff,Patio,Patio,Commodi doloremque vero dolorem alias dolore necessitatibus.,Inactivo,2016-01-31
26,054de91a85974407acac776f79a199f4,Salon Interactivo,Salon Interactivo,Alias veniam ab sapiente doloremque labore incidunt.,Inactivo,2000-10-03
27,f2b1d129c2104fdd9c32dd386899ccf0,A-2,A,Quo autem possimus consequatur cupiditate sapiente.,Inactivo,2018-10-15
28,86a3e137fbfa48da953c39befb51bcd4,B-190,B,Ex laborum inventore sint architecto illo eos.,Inactivo,2007-09-30
29,d2c8e64be21b4ed68b05a7c75e19c3b4,D-321,D,Modi voluptatum corrupti voluptas eveniet nostrum perferendis.,Activo,2010-07-08
30,f27c3666ae6f4371842b0d34b6ffa2e4,A-33,A,Debitis quo eum nemo asperiores.,Activo,2016-05-19
31,0104b05ef31f41b6950813cdd603172e,B-118,B,Repellat hic animi sed.,Activo,2013-03-24
32,f492400cf05f4a699473019c442862a2,C-296,C,Dolore reiciendis quam fuga similique vero iure.,Activo,2006-08-25
33,f62d94e27c184ff988bf9f0681ee401f,A-1,A,Nobis ratione inventore nobis atque.,Activo,2014-08-15
34,215d968f68de443aa9cecd39b798aae8,Coliseo,Coliseo,Reprehenderit sed nobis ducimus sed quos.,Activo,2008-02-26
35,ee12a0b0407645059406bdac4be5006d,Patio,Patio,Minima tenetur laboriosam molestiae.,Inactivo,2020-11-24
36,6a2268ecdc0543e394a97e15449c0b39,A-47,A,Aperiam quo molestias nisi sit dolor sequi quas.,Inactivo,2020-03-06
37,ae78ec6fe7ca40b981cc8b9e59bb1558,Salon Interactivo,Salon Interactivo,Quod ex ullam repellat nulla.,Activo,2006-09-15
38,f7827c8e29ee4738bedab3d13bb5cdf0,C-259,C,Expedita debitis nobis ut quo labore aperiam.,Activo,2000-01-01
39,47b4e06372e046cababa03ce806542e6,B-176,B,Accusantium voluptatum consequuntur quos.,Activo,2012-03-31
40,1e2f1d16e2134d38b56c0b144b482bd5,D-333,D,Aperiam aspernatur ducimus ipsam.,Activo,2000-10-30
41,ff74d2c9de0a4a19bf89291a37b45ab9,B-198,B,Facere ex beatae voluptatum nihil sed.,Inactivo,2009-10-15
42,6a95d6202bed4a6c8524ec1f98c87ce2,A-24,A,Voluptas accusantium accusantium ipsa.,Inactivo,2015-04-30
43,d9710bce9c544a25a3fd5c7d920dcac8,B-119,B,Veniam reiciendis repellat facere magnam.,Activo,2004-11-03
44,fac8529ca22b4287af5ecaf299a8d1b6,Coliseo,Coliseo,Sint aliquam ad.,Inactivo,2001-12-14
45,cec5ccb9598148ff9a9daf17ad75d132,C-208,C,Est officia earum et.,Activo,2022-08-12
46,dfdf5f6b620247518acbefe8880978f8,Salon Interactivo,Salon Interactivo,Doloribus odio repudiandae velit omnis quidem ut facere.,Inactivo,2014-12-03
47,94db65beae464ae1976984473e28d3df,B-198,B,Numquam beatae laborum sequi.,Inactivo,2021-11-25
48,16724cfd56904ebea35a6b06acd7936d,A-87,A,Modi modi iste quis dolores facilis.,Inactivo,2013-08-04
49,a6ab0d380de346588db6c65f036a2618,Coliseo,Coliseo,Alias unde adipisci aut labore voluptatibus.,Inactivo,2010-10-25
50,cbeab24e9d6a4210a29376a2e8020a89,A-98,A,Expedita voluptatum ad nam fugiat.,Activo,2013-08-17
51,b5ef95524af24918a7cfd5977d162026,Patio,Patio,Veritatis eligendi pariatur consectetur magni.,Activo,2015-07-15
52,95336ed8f82f4a0c8defbad7a48cccc8,D-318,D,Deserunt et nesciunt.,Inactivo,2008-07-09
53,d80bb54586974295a72ba6711fd64d9f,Coliseo,Coliseo,Consequatur quaerat doloribus repellat sequi facere nostrum praesentium.,Activo,2015-09-26
54,ed5a64a6e3c7456580de86b7a8226bc6,Patio,Patio,Possimus est adipisci maxime.,Inactivo,2017-10-11
55,6669d127be8d426193999f8c9a4bc5aa,Patio,Patio,Molestiae autem beatae vero.,Inactivo,2002-06-01
56,4abc5d9d39d04fdf97806ae5a8de61a7,D-338,D,Cum rem quos eaque tempore exercitationem.,Inactivo,2022-02-28
57,4aa7f20ac07a47cb86ef564f8991e30c,B-141,B,Illum totam recusandae odit.,Inactivo,2021-06-01
58,f9f74f4feac648af8f42ca12112cad4a,D-398,D,Ratione magni laborum ab.,Activo,2021-06-01
59,a928ea7b127b4bb5ac70faa6af35133a,Coliseo,Coliseo,Delectus voluptas asperiores a dolor saepe nemo.,Activo,2002-04-13
60,7c132aa3b5e0436fb0b709cd6b0cc7ce,Salon Interactivo,Salon Interactivo,Quae sed distinctio quidem ducimus corrupti.,Activo,2019-05-22
61,8a2af7ba03854c978e2510859010c745,D-400,D,Odio expedita expedita eveniet itaque.,Inactivo,2009-04-22
62,b59dc8aacbc949a6bcfeb02cf0ff034a,C-208,C,Unde libero a repudiandae veniam sequi sequi.,Inactivo,2011-11-20
63,50b9aab2884c44f497b8802dac3d73a3,B-196,B,Odio fuga alias.,Activo,2006-11-07
64,1daad20ea2674211a9cd1ddda8c00a9c,B-176,B,Vitae quas accusantium at illo dolorum deleniti.,Inactivo,2011-03-24
65,5e9eb1cdbcb14455a5282b78bb314ba9,C-221,C,Corrupti dolore eum sed provident provident quibusdam excepturi.,Activo,2000-10-26
66,336c31c103cf45c6b828263cd95a25d1,C-232,C,Eveniet excepturi voluptatem atque esse.,Activo,2003-02-03
67,c06fd451d3de4e7ab93681f7b6a62bee,B-189,B,Nulla illo iste odio velit accusamus.,Inactivo,2001-11-02
68,56371649d05b47fb8536341304baf5b1,Coliseo,Coliseo,Incidunt quia aut recusandae ut.,Inactivo,2022-10-05
69,6cdd2ffa2251496d83a61bcb12058c2f,Coliseo,Coliseo,Eum ad inventore reiciendis.,Activo,2012-03-21
70,5cf535b6f568411794dcb5d797a11bbf,Patio,Patio,Ut consectetur nisi quidem enim.,Activo,2007-04-24
71,2a64122856f144b899f7c34a8449f1b4,D-316,D,Eaque delectus officia omnis architecto.,Activo,2003-12-31
72,4caa0a45f4484e828a8d42fcf3ee4c34,Salon Interactivo,Salon Interactivo,Quos velit perferendis placeat.,Activo,2018-09-17
73,54d7f802642247059015eb1f3788178e,C-240,C,Possimus repellat culpa atque error.,Activo,2014-01-19
74,17d99fa3fa9042e9a37d449a8782b405,Salon Interactivo,Salon Interactivo,Accusantium a modi delectus.,Inactivo,2015-12-06
75,edc708b37404431da0f0fe18a50b6f3f,B-105,B,Dolorum culpa est consectetur magnam earum.,Activo,2010-04-28
76,2175ed9ea3514be8be189723bdd38d7c,B-190,B,Cumque labore optio nam ab.,Activo,2018-12-20
77,994b7ad3b76549b0abba54b0588f1b66,A-75,A,Laborum error sunt consequatur provident.,Activo,2015-02-10
78,9c262dd410da4d479ab6d625e5502822,A-45,A,Odio nihil porro cumque nobis magni.,Activo,2004-09-13
79,7133ec0d7a7740fb8dbbcaa4cb3e1e53,Patio,Patio,Quo voluptates exercitationem sit impedit voluptatibus eius.,Inactivo,2000-12-31
80,f2e38792ba2e48d5a309acce5bd5c48a,A-84,A,Autem provident porro animi dolor libero quod.,Activo,2005-10-19
81,498ebce5fd8d4d22b0e84e643c82dab8,D-302,D,Asperiores a praesentium ipsa molestiae eos.,Inactivo,2007-07-19
82,0526b6cad34f43b591808ce11ae373fb,A-66,A,Quaerat quasi velit.,Activo,2004-11-02
83,a3d7f3a7eaac44b8b63f4df845d2a7a2,Coliseo,Coliseo,Quaerat ipsam praesentium facere illum distinctio corporis ipsa.,Activo,2001-09-25
84,bb610c1e960144b4a9c9d720b60662f9,D-355,D,Sapiente ullam autem tenetur esse dolores magni.,Activo,2003-06-27
85,0738e723f4484b9c989eb1579b259f18,C-269,C,Error aperiam cupiditate iste.,Inactivo,2005-01-27
86,00b02f8bb92e46188759660908c21bd9,Coliseo,Coliseo,Occaecati distinctio earum perspiciatis quasi debitis in.,Inactivo,2019-04-19
87,254fee9cad604d8886d12d58366fbfb9,Coliseo,Coliseo,Iste fuga pariatur amet.,Inactivo,2009-10-30
88,d1841aa2e1314db0a94beb63114a9063,B-130,B,Porro non veniam repellendus.,Inactivo,2019-01-20
89,f3f77830c6a4488b80dbda5eb516f89b,Coliseo,Coliseo,Non temporibus officia magni ut.,Inactivo,2003-06-16
90,b61b4be634c748cba65c032d2e252f63,Coliseo,Coliseo,Ad facilis culpa excepturi.,Inactivo,2003-05-09
91,00a1e01cb2604521a8c7803da204165c,C-212,C,Est ullam quis quis voluptate architecto.,Inactivo,2001-10-27
92,f8cee92052e547fcb6c50b9c4f78c262,Patio,Patio,Ipsum quasi exercitationem numquam.,Activo,2009-01-26
93,acef4c04dcae45d4b9c1ee11d7a944f5,Patio,Patio,Veniam enim reiciendis optio reprehenderit eum amet quod.,Inactivo,2006-10-11
94,da1c2342b4054414a800c3d69420ab8f,Patio,Patio,Soluta alias natus sunt cumque ipsa modi.,Inactivo,2002-10-25
95,27f61213430b4ae7bbe1f3abb8655577,D-381,D,Sunt pariatur rerum rerum veniam.,Inactivo,2020-06-11
96,7339f3164cb84a4e98f62789f342f573,A-67,A,Fugit magni reprehenderit et voluptatem.,Inactivo,2008-09-27
97,7d0b6676b257462493438c0a3c769af1,Salon Interactivo,Salon Interactivo,Amet amet hic error deleniti maxime quia.,Activo,2015-05-25
98,0ad8ba1604fc4536b57233be1cc7c3b1,Salon Interactivo,Salon Interactivo,Ipsum perspiciatis corporis ea.,Activo,2009-10-16
99,758b651cdb18422cb6a8eae843d550e8,B-101,B,Rem autem voluptate quas.,Inactivo,2013-06-01
100,6d210426a98642b1a04dbc49f73ebf7f,Patio,Patio,Illo nostrum et.,Activo,2017-05-03
101,fb03cd971a4b4a88ae699bb8caaad05a,C-202,C,Asperiores voluptatum officiis accusamus hic hic modi.,Inactivo,2010-12-22
102,6ea85111da2a4bd08c66713f69644bbe,D-392,D,Eum repellendus amet.,Inactivo,2011-02-22
103,008b15aab94f49428a1638c6cc52b59e,Salon Interactivo,Salon Interactivo,Pariatur sunt corrupti aspernatur accusamus accusamus eum.,Activo,2021-08-21
104,e23ce41a78574c47bfacae200deee633,D-337,D,Officiis atque a quo facilis ex.,Activo,2005-04-03
105,11fb352d26214d43bc499fe3cbb05ca7,D-339,D,Eius autem odit consectetur voluptate occaecati harum at.,Activo,2016-02-03
106,af7c941602d54975be89e0dc04d518f6,Coliseo,Coliseo,Corrupti explicabo praesentium blanditiis sunt maxime possimus.,Inactivo,2017-06-19
107,816394d3e5c94a298d48c3f28f4591b2,D-358,D,Perferendis dignissimos consectetur aliquid.,Inactivo,2011-02-16
108,9e28083d97704290948ebf5baaea581f,A-74,A,Placeat labore voluptates.,Activo,2011-10-22
109,f35bd38ff08d4442918c710b9f467525,Coliseo,Coliseo,Officia sequi maxime aspernatur dolorum nihil hic omnis.,Inactivo,2002-01-31
110,5a54c610af7d4f9e9bf8921eb426318e,Coliseo,Coliseo,Error ex nobis quod necessitatibus nihil inventore.,Inactivo,2010-05-04
111,27cedc11b1574302926b0abd38449722,Salon Interactivo,Salon Interactivo,Eveniet velit aperiam debitis temporibus deserunt omnis.,Inactivo,2019-04-15
112,c199a20cb4cb4ce689a32a4069457066,Coliseo,Coliseo,Minima reiciendis placeat hic a.,Inactivo,2007-05-02
113,378e26a8cec1406e8c820e4037754944,D-387,D,Quo hic sint officiis dolore architecto.,Inactivo,2020-05-06
114,607c83486c484050b8aa8e29320ee2f0,Coliseo,Coliseo,Deserunt debitis accusamus quaerat maxime.,Activo,2021-02-01
115,901b525773c646b89e4b2b5472eca99c,Patio,Patio,Aut illo ab iusto fugiat odio cupiditate.,Activo,2003-10-25
116,ccd7df6d880e47999725c1eea7fe67c4,Salon Interactivo,Salon Interactivo,Voluptatem occaecati in dolorem architecto iure.,Inactivo,2008-03-22
117,44bae3efe3c24a6ab8c0692204a938c9,A-50,A,Unde cumque laudantium quaerat quia dolorem.,Activo,2021-06-02
118,358163a761514416b4b36aa1e8bdb9cc,D-350,D,Dolorem veniam pariatur quas repudiandae culpa.,Activo,2009-12-23
119,1a006e92980245d0967b962ca095a95b,Patio,Patio,Minima amet perferendis molestiae adipisci hic neque.,Activo,2017-04-01
120,14be8859ce2f46b4b49555a93cfa3579,Salon Interactivo,Salon Interactivo,Quas voluptatibus occaecati laboriosam accusantium incidunt nostrum cum.,Activo,2010-04-03
121,704f7db6b48a4bc5bf5299646f0d2f9c,B-148,B,Quis eum praesentium ab assumenda aperiam dolor eveniet.,Inactivo,2020-07-31
122,8a543c80f60246b78a3c5f787bd7aecb,Salon Interactivo,Salon Interactivo,Mollitia dolorem quia a nam.,Inactivo,2014-12-21
123,58b9a4703c484d738d039e01f08c4e48,D-380,D,Praesentium aperiam sapiente.,Activo,2021-01-26
124,dee147c638f746cf89006cdf336ff909,Patio,Patio,Temporibus iste quo aliquid nisi.,Activo,2010-02-08
125,94743a98acf24d9fb8d5c88d3041a3c7,A-55,A,Velit eum impedit vero voluptates ab beatae.,Inactivo,2019-05-20
126,4636ba22b45d4b05bc37d5721c7830ec,D-354,D,Omnis incidunt ab aut maiores.,Activo,2022-08-02
127,50e91fea3c0147fd903b417eb025938e,Patio,Patio,Saepe laborum adipisci provident voluptate quia eaque labore.,Inactivo,2005-09-03
128,915deaeb319741ebafbc7ca9d7c91776,D-335,D,Odio vitae maxime modi.,Inactivo,2019-02-19
129,0946877fe7754839a2eb3fb7fed56000,A-85,A,Tempore sint eius nulla.,Inactivo,2011-07-09
130,4d0b444a8a964f3ab7eed8f002e5fe8e,Coliseo,Coliseo,Minus occaecati sit aut.,Inactivo,2001-12-14
131,abda05c98b3c4b3893fffe2c72ac7bbd,B-131,B,Fuga fuga reprehenderit a voluptatibus.,Inactivo,2003-11-09
132,99bfc7108a1e4ba99fca6fbaf82e6fec,Patio,Patio,Magni molestiae velit velit voluptatum laudantium at.,Activo,2016-07-23
133,9eed2af2a3bf43c386093bd586474456,A-33,A,Velit molestiae error odit doloremque deleniti temporibus laboriosam.,Activo,2003-11-11
134,67c35f3c30bf4ab0b17575a7fbf01593,A-73,A,Delectus nisi quos suscipit.,Inactivo,2008-04-17
135,09b6edf7e4774503b4272a738ec336b5,Patio,Patio,Corporis aliquid quia accusamus error facilis explicabo.,Inactivo,2014-12-01
136,820c96386331467c807b9deb87654479,Patio,Patio,Praesentium dolor soluta sunt ipsam vitae eius recusandae.,Inactivo,2007-01-11
137,93244fe28285437382ec4c2eb68d9d1b,Coliseo,Coliseo,Tempore eos ipsa.,Activo,2010-06-20
138,755b97e09fb84715939ebc8ff5cddb9b,B-137,B,Rerum blanditiis commodi corporis reprehenderit dolorem.,Activo,2002-03-25
139,3e0f5295be1048e9b3726d03f3a73ae7,C-211,C,Magni atque autem quis distinctio repellat perspiciatis.,Inactivo,2012-06-12
140,3d12580c32ff4bc09216151aaf373c5b,C-211,C,Laborum impedit fugit cupiditate quam sed inventore nisi.,Activo,2003-06-05
141,6dbefe81e6ee4228b68be633c784a6d1,Salon Interactivo,Salon Interactivo,Beatae est inventore nobis rerum similique facere.,Inactivo,2005-07-25
142,04f7162372154d0595e3f839f49fed70,Patio,Patio,Minus alias dolorum minima nam blanditiis aut.,Inactivo,2011-11-05
143,b0c243b47dbf44fb815dd38b9c8b8d01,C-209,C,Aperiam vero facilis.,Inactivo,2021-07-21
144,7c1a35e78b974e319dd20db47f0bc624,D-310,D,Repellendus dicta fugiat amet veritatis.,Inactivo,2015-09-11
145,e7b315bc1e3741bc8c1cf9db7bb597f7,Coliseo,Coliseo,Necessitatibus minima recusandae ut accusantium laudantium recusandae.,Activo,2001-01-03
146,560b98a0474c4d7f8e93e8438ecefafb,B-177,B,Voluptatum dolorum cupiditate voluptatum totam.,Inactivo,2008-07-21
147,699445414ef949fd9cb0f7a181017080,Coliseo,Coliseo,Facilis consequatur quo recusandae rem.,Activo,2009-03-17
148,ea5a00d0725c44b48b68909d38b217be,Coliseo,Coliseo,Adipisci rerum labore repudiandae repellat tempore.,Activo,2006-03-04
149,cdf7b0fe518d4d8baf1daa7feeb44444,B-168,B,Dolore dicta perspiciatis porro iure hic.,Activo,2018-03-22
150,2268b7af4af94eb2b9bcafea3635b6ac,Patio,Patio,Neque laborum sequi.,Activo,2011-12-01
151,18532ae073984c10a254d72c96e806fb,B-161,B,Quas iure modi non.,Inactivo,2007-06-28
152,97a0b2528318425890759f58cc732574,Coliseo,Coliseo,Iste asperiores quam adipisci.,Activo,2007-05-14
153,7e83a84c78ee4ab083fe58bbc9bcda64,Patio,Patio,Reprehenderit excepturi commodi nobis ullam quisquam quasi.,Activo,2001-08-01
154,0c165ace65e24a11ad86a5b7a65ae18a,A-77,A,Labore necessitatibus assumenda magnam.,Activo,2011-05-16
155,ff03a5de1626441996f973ddd420f21c,D-308,D,Enim odio placeat.,Activo,2007-06-24
156,8fb64ce574654c628a1d1cd9eee27021,C-225,C,Nisi eos incidunt tempora vel veniam rerum.,Inactivo,2011-07-07
157,913f1fac5fa84a118dbd66055899002f,D-305,D,Ab nemo quaerat dolore.,Inactivo,2005-05-08
158,a8be3b5afebc49cdb996b72d654d596b,B-188,B,Tenetur deleniti debitis.,Inactivo,2012-01-21
159,b2245c6ad6884734a6fa8e70db5f162d,Coliseo,Coliseo,Architecto eveniet aliquam nulla aperiam.,Activo,2013-05-18
160,e0cd7b19a51649108f9fb3047bb3bc0a,Salon Interactivo,Salon Interactivo,Quisquam debitis quibusdam velit consequatur provident.,Activo,2007-07-11
161,bacf260ac43244f7b932359f376307e6,C-204,C,Assumenda natus et autem nihil enim officia.,Inactivo,2011-01-05
162,52df36ae88074576994144f0ae3922c2,B-115,B,Magni ducimus iure quaerat ea accusamus.,Activo,2015-03-09
163,18a8785d760a4d53b9956d526d7c79ed,Coliseo,Coliseo,Repellendus officia quisquam dicta impedit veniam necessitatibus nisi.,Inactivo,2015-10-22
164,93ed3467f836488199b7d6cbb6c84730,D-377,D,Veniam asperiores aliquid perferendis non.,Inactivo,2015-10-09
165,b29a330ffd094e1b82e61c8972d13f22,D-314,D,Aut enim fugiat magni impedit porro quisquam quibusdam.,Activo,2003-04-15
166,3af370c47c7d4686ab195399db599627,D-350,D,Aspernatur suscipit laborum incidunt expedita.,Inactivo,2012-04-05
167,da676d8a7a1140dbb6e0d1ed57f2fe6e,Salon Interactivo,Salon Interactivo,In atque quis unde.,Activo,2018-06-04
168,60fd33d558c44c75b3f318bf448dcdbe,A-1,A,Enim quibusdam dolores ex doloribus sapiente laudantium.,Activo,2016-08-16
169,2b234bb58e2c44bab37c8f6dcadeff8d,Coliseo,Coliseo,Itaque sit non vitae.,Activo,2021-11-28
170,206f526906874b52b2e54c5231f97861,C-300,C,Nisi fuga provident velit.,Activo,2016-03-02
171,cddf8148a11648e5875d1708efc0711c,A-85,A,Magnam tempore vitae et in.,Activo,2010-01-23
172,df93592c8fe240dab7b6b134eb443253,Patio,Patio,Eaque itaque aut eaque.,Activo,2007-11-02
173,29ff3ea69d9948e3a87866941e6cfdc8,C-283,C,Iste quod cum mollitia magni vitae provident.,Activo,2004-01-27
174,17e5651700db4f1fac54372d948b06d8,Coliseo,Coliseo,Qui suscipit dolor beatae quis illo molestiae.,Inactivo,2013-04-11
175,738b45478867467f8707891897857793,Coliseo,Coliseo,Culpa delectus recusandae voluptatem quia.,Activo,2018-03-10
176,51ada1db873e4f2eafd6545160e097ea,C-203,C,Exercitationem similique necessitatibus quis.,Inactivo,2012-05-09
177,dda423572b2140ee85ee03fb8df17dc4,B-101,B,Natus laboriosam eum recusandae.,Inactivo,2008-09-26
178,4f5eb022e57d4f2f9b346d5909446fee,A-94,A,Nemo unde tenetur fugit architecto beatae ducimus.,Activo,2018-04-16
179,2380645c2c2141abb10b3fc395128f05,Coliseo,Coliseo,Suscipit ullam aliquid tempore ab aspernatur atque alias.,Inactivo,2012-01-22
180,864c9cdd247643dd828992545cd3688c,Coliseo,Coliseo,Iusto quia eveniet ut voluptate placeat temporibus.,Activo,2013-06-23
181,53912a92d30540d48421b6eca5f50801,D-317,D,Quod qui culpa numquam molestias asperiores.,Inactivo,2007-11-07
182,9b4b1eea6f734963b7fe41c101353bfc,A-38,A,Occaecati facere quasi consequuntur libero.,Inactivo,2019-09-20
183,f068232215174de48df47d96ef0ab7d8,Patio,Patio,Consequatur quod possimus rem occaecati iure quasi.,Activo,2010-02-26
184,cae8df118d7f4580a64e210f2a5baa70,D-360,D,Illo tempora non.,Activo,2003-05-18
185,124b5d382b6446f3b41e39a73afec5e4,D-321,D,Reiciendis illo minima asperiores.,Activo,2021-01-10
186,9ea86f4381e242318ec6cb199aa90ba1,C-240,C,Quis aspernatur est occaecati quidem fugit.,Inactivo,2005-11-11
187,43e75df1f06145caace2975f84bcba0c,Coliseo,Coliseo,Eveniet facilis molestiae fugiat.,Inactivo,2020-12-03
188,d820b927a840456ca90bbc8f22e80477,D-381,D,Magnam at animi rem sint mollitia.,Inactivo,2022-05-21
189,18eb4a30c1e64c629ad8ae0424167e9b,D-371,D,Sint earum corrupti veniam ipsum.,Activo,2003-06-25
190,67666bcb81234babbf59a45925be270d,B-142,B,Deleniti eveniet nobis animi.,Inactivo,2003-05-12
191,a0d2dbad775f4c48986b4b05f52121a8,Coliseo,Coliseo,Aspernatur amet molestias quam.,Activo,2012-02-12
192,de4fdab8e91342478102c4a314c82ca3,Patio,Patio,Repellendus dolorum nesciunt rem pariatur atque.,Activo,2021-08-05
193,70a5746c3040496a82dfb7b55aac6e81,Patio,Patio,Voluptatem deleniti adipisci.,Inactivo,2021-06-27
194,a0704fc9d20842728d9d320c99fffc05,B-150,B,Velit nam tenetur.,Activo,2007-07-11
195,5e45111221be4b3dbdf2e3856de47d51,B-133,B,Voluptate pariatur ipsa ullam.,Activo,2002-10-24
196,0ae2b9a5cc5c4c6ea954efcfff09e3c0,D-346,D,Consequatur mollitia ea odio laborum.,Activo,2001-08-30
197,51dfa12d269c43ceb358973b3a57e4a9,D-306,D,Dolor debitis ea nemo debitis illo.,Activo,2007-06-02
198,0bc2e2f6f93940e9b3f18820f5381342,D-319,D,Occaecati fuga maiores nulla non animi non.,Activo,2021-12-03
199,294e01cdeeda41889ee154b9a28b50bd,A-98,A,Neque atque distinctio totam adipisci aspernatur ab.,Inactivo,2010-10-24
200,768534561ea94fe291339d154617b4c3,D-305,D,Dicta tempore soluta natus.,Activo,2007-05-16
201,4f2a627076424767b425851e56b89f16,D-304,D,Voluptas occaecati qui necessitatibus.,Activo,2016-11-09
202,f1dac25f36d64a8396f32d371812197f,C-273,C,Neque delectus accusantium suscipit delectus harum.,Activo,2011-03-09
203,ec0df325e00a4478ba5fbc06de2697b9,Patio,Patio,Quod maxime eligendi reiciendis vitae nam eius.,Activo,2002-02-15
204,08eee77206244955a9de2e1d7717cb5a,Patio,Patio,Recusandae dicta reprehenderit exercitationem ex.,Inactivo,2000-12-12
