,id,Nombre_Materia,Descripcion,Status,Horario,Fecha_Materia
0,10f5763eada44f3192f96b7aee5107a1,Educación SocioEmocional,Quas porro illum ipsum assumenda.,Inactivo,8:15-9:15,2022-07-24
1,701e62565b0d4eadb4743cdc3b446815,Artes,Modi cumque illo possimus.,Activo,7:15-8:15,2022-07-12
2,118ef1523e5a47778cd9c7aaf9cd6699,Artes,Adipisci minima doloremque iusto.,Activo,11:00-12:00,2022-07-03
3,40b833514f464c57a0b5a25959eebd93,Pensamiento Matemáico,Error voluptatum repudiandae.,Inactivo,7:15-8:15,2022-07-16
4,80016499f99c49ffa3f15d29a0a0e905,Educación SocioEmocional,Distinctio officiis illum omnis quidem.,Activo,11:00-12:00,2022-08-05
5,a0a9498cd8cd45379c14a00f3ac703ed,Pensamiento Matemáico,Fuga unde sit.,Inactivo,11:00-12:00,2022-07-27
6,dfdbbad17d7b4e57aee2459c4df931d8,Artes,Consectetur tempore corporis non tempore minima possimus suscipit.,Activo,8:15-9:15,2022-08-18
7,24170e0cb9ba4bd5add3b76bcbec20eb,Exploración y Comprensión del mundo natural y social,Nostrum nisi fugiat dignissimos at praesentium amet.,Inactivo,11:00-12:00,2022-07-29
8,667274b362d44216a8ee17ce57631826,Lenguaje y Comunicación,Dolores nulla commodi dolore quaerat accusantium inventore placeat.,Activo,11:00-12:00,2022-06-29
9,126c5dbecb204a48b52aff901a4e4f36,Pensamiento Matemáico,Esse facilis voluptate nostrum aperiam alias maiores.,Activo,8:15-9:15,2022-08-16
10,79f8df3e4ec84c799438c39b3c4869b1,Educación Fisica,Illo facilis adipisci harum.,Inactivo,7:15-8:15,2022-07-05
11,bb76736ade8945509d5cfb6cb3de784b,Educación SocioEmocional,Non iusto hic dicta ab.,Activo,11:00-12:00,2022-07-09
12,05ea2ca6f3194310bf4651e3dbe8a241,Educación Fisica,Nulla error nesciunt quis dicta nostrum voluptatibus.,Activo,11:00-12:00,2022-06-01
13,425293c1cdc44203ab3d0192b4c9ecd8,Pensamiento Matemáico,Rem dolorem praesentium nam at cumque quisquam voluptatem.,Inactivo,7:15-8:15,2022-07-02
14,fa3b850d2fdb43ad8e0af6611a88faa3,Pensamiento Matemáico,Quam modi dolorum illo reiciendis natus.,Activo,8:15-9:15,2022-08-04
15,62109df763c44c44a4f388587ea8c78b,Educación Fisica,Aperiam consectetur quisquam recusandae quisquam.,Activo,11:00-12:00,2022-08-11
16,aee5079090254448aeeb6ba7708d9624,Artes,Ut recusandae sequi aperiam.,Activo,7:15-8:15,2022-07-24
17,9873f4dfa18f4e799d44c32ee5030e36,Pensamiento Matemáico,Dolor inventore id odit quis.,Inactivo,8:15-9:15,2022-08-09
18,2d70439880b14e0f9a60a6f1c949a390,Educación Fisica,In repudiandae architecto dolor omnis consequatur animi.,Activo,7:15-8:15,2022-08-12
